migrationfrom,migrationto,year,n_migrations,n_migrations_back,netmigrations
ES,CN,2003.0,30,16,14
JP,VN,2013.0,51,25,26
US,BO,2008.0,10,4,6
US,CA,2014.0,3360,3521,-161
DE,CN,2001.0,110,146,-36
GB,US,2006.0,4554,4785,-231
TN,IT,2014.0,16,12,4
FI,BD,2013.0,4,2,2
AU,GB,2012.0,1148,1466,-318
DE,NO,1998.0,22,10,12
CN,US,2009.0,5136,6927,-1791
US,IL,2007.0,387,492,-105
FR,US,2019.0,1593,1424,169
US,JP,2021.0,1164,1143,21
ES,EC,2017.0,222,107,115
GB,AU,2017.0,1541,1377,164
AR,nan,2005.0,19,25,-6
AU,CA,1999.0,146,147,-1
DE,CH,2007.0,714,485,229
nan,AU,2007.0,22,19,3
US,TW,2014.0,751,718,33
CH,IT,2020.0,307,330,-23
IN,GB,2011.0,351,395,-44
JP,GB,2000.0,220,194,26
SA,EG,2001.0,23,28,-5
US,IT,1997.0,413,410,3
IN,US,2015.0,2471,2607,-136
MX,GT,2018.0,35,20,15
MY,CN,2003.0,10,11,-1
FR,GB,2004.0,370,329,41
GB,BR,2015.0,217,225,-8
EC,CO,2021.0,97,108,-11
BE,US,2011.0,270,342,-72
GR,GB,2021.0,150,172,-22
IT,JP,2015.0,67,77,-10
BR,ES,2012.0,279,379,-100
US,NZ,2005.0,253,222,31
FR,US,2010.0,1381,1327,54
CA,JP,2012.0,114,105,9
US,IT,1998.0,500,466,34
SA,US,2021.0,158,291,-133
BR,US,2014.0,1120,1202,-82
US,BE,2015.0,418,390,28
CL,CH,2009.0,6,6,0
AU,NZ,1997.0,49,44,5
FR,US,2017.0,1600,1442,158
EC,AR,2009.0,6,4,2
RU,DE,2020.0,187,203,-16
NL,CH,2012.0,109,72,37
MX,RS,2008.0,50,26,24
DE,IE,2003.0,43,23,20
US,NZ,2002.0,209,183,26
IE,US,2021.0,391,399,-8
JP,CN,2008.0,704,392,312
HR,BA,2020.0,45,42,3
CO,US,2021.0,354,218,136
JP,ES,2012.0,30,31,-1
AU,CL,2020.0,21,25,-4
DE,RU,2006.0,136,159,-23
ET,KR,2015.0,109,99,10
CH,JP,2010.0,84,78,6
GB,AU,2010.0,1240,1169,71
nan,PT,2018.0,20,13,7
US,IR,2017.0,420,845,-425
US,IR,2019.0,506,767,-261
US,HU,2003.0,81,90,-9
KR,DE,2011.0,44,49,-5
US,CH,2015.0,911,872,39
GB,IT,2014.0,491,611,-120
PE,US,2022.0,77,64,13
DE,NL,2014.0,368,410,-42
TN,MA,2014.0,43,34,9
CH,JP,2017.0,94,121,-27
PH,US,1997.0,134,121,13
ZA,CH,2014.0,16,27,-11
US,BR,2012.0,1132,909,223
IQ,JP,2011.0,5,3,2
BR,nan,2004.0,27,17,10
NL,DK,2017.0,72,58,14
US,PH,2002.0,222,233,-11
IT,AT,2020.0,82,73,9
DE,FR,2010.0,494,494,0
NL,GB,2003.0,156,155,1
SE,CA,2016.0,41,65,-24
NG,US,2016.0,88,98,-10
NL,CO,2013.0,7,10,-3
PE,GB,2019.0,15,18,-3
JP,IE,2007.0,17,26,-9
US,DK,2014.0,302,249,53
VN,GB,2005.0,8,3,5
BE,NL,2004.0,144,120,24
US,MX,2011.0,315,346,-31
DE,nan,2011.0,87,58,29
GB,IE,2015.0,414,426,-12
AR,CL,2009.0,59,48,11
ES,CA,2021.0,62,72,-10
HR,RS,2017.0,134,127,7
nan,MY,2014.0,72,52,20
FR,CI,2002.0,9,4,5
US,PH,2005.0,295,285,10
PK,AR,2012.0,23,11,12
DK,NO,2007.0,60,85,-25
DE,ES,2008.0,147,133,14
RO,HU,1999.0,69,35,34
BE,CO,2022.0,5,8,-3
GB,MY,2009.0,104,52,52
EG,IT,1999.0,4,8,-4
JP,KR,1997.0,92,51,41
CH,JP,2019.0,116,82,34
MX,CR,2006.0,12,11,1
CL,FR,2021.0,35,39,-4
CU,ES,2001.0,48,36,12
EG,NG,2019.0,8,5,3
BE,NZ,2017.0,6,5,1
BE,NZ,2019.0,5,15,-10
FI,SE,2000.0,45,40,5
IE,GB,2007.0,203,279,-76
IN,KW,2014.0,9,12,-3
FR,CH,2007.0,403,297,106
US,IR,2010.0,198,249,-51
CO,IT,2011.0,8,12,-4
IS,ES,2010.0,5,4,1
NO,FR,1998.0,15,19,-4
AR,US,2018.0,297,321,-24
IL,CH,2003.0,17,4,13
ES,EC,2019.0,259,210,49
ZA,CA,2021.0,54,26,28
LB,AE,2011.0,2,3,-1
JP,FR,2006.0,97,115,-18
CA,nan,2021.0,28,21,7
FR,AT,2016.0,34,44,-10
CH,ZA,2014.0,27,16,11
BN,NZ,2016.0,3,1,2
DK,CN,2015.0,37,43,-6
SA,SD,2009.0,4,4,0
AU,NO,2013.0,28,9,19
IT,BR,2022.0,95,166,-71
CN,NL,2011.0,105,97,8
GR,NL,2006.0,13,16,-3
UG,IT,2014.0,2,5,-3
GB,FR,1999.0,225,314,-89
