migrationfrom,migrationto,year,n_migrations,n_migrations_back,netmigrations
ITA,ESP,2010.0,190,89,101
USA,MEX,2014.0,166,186,-20
BRA,AUS,2013.0,34,18,16
RUS,DEU,2010.0,126,70,56
TUN,FRA,2009.0,79,92,-13
FRA,DEU,2010.0,324,265,59
USA,CAN,2015.0,1309,1811,-502
AUS,SGP,2006.0,31,53,-22
EGY,CAN,2016.0,33,44,-11
GBR,USA,2003.0,1458,1165,293
CHE,USA,2020.0,488,510,-22
DEU,GBR,2004.0,364,307,57
USA,ITA,2011.0,341,545,-204
ESP,USA,2012.0,492,345,147
ZAF,USA,2016.0,103,89,14
NLD,NZL,2010.0,15,6,9
USA,ISR,2014.0,303,364,-61
GBR,QAT,2018.0,45,24,21
GBR,ESP,2015.0,252,508,-256
HRV,USA,2007.0,9,17,-8
USA,NLD,2021.0,284,237,47
NLD,DEU,2011.0,230,220,10
USA,CHL,2013.0,85,102,-17
ITA,GBR,2016.0,581,251,330
USA,CHE,2012.0,519,427,92
FRA,NLD,2005.0,83,74,9
FRA,GBR,2006.0,336,269,67
USA,IND,2014.0,761,903,-142
GBR,GRC,2011.0,144,137,7
NLD,CAN,2004.0,32,31,1
CAN,TWN,2010.0,17,12,5
USA,IRL,2016.0,122,180,-58
DEU,CRI,2016.0,7,8,-1
NLD,IRN,2014.0,11,31,-20
ZWE,USA,2007.0,8,2,6
AUS,CAN,2004.0,102,86,16
GBR,AUS,2002.0,344,360,-16
DEU,NLD,2015.0,271,288,-17
CRI,DEU,2002.0,1,2,-1
AUT,GBR,2007.0,49,32,17
ESP,SWE,2012.0,37,22,15
USA,PHL,2004.0,13,16,-3
GBR,AUS,2005.0,406,320,86
FRA,BEL,2012.0,182,169,13
LUX,AUT,2017.0,2,1,1
LBN,USA,2005.0,28,29,-1
RUS,DEU,2019.0,124,75,49
USA,BEL,2013.0,136,169,-33
FRA,AUS,2016.0,100,92,8
COL,MEX,2017.0,27,36,-9
ITA,ESP,2017.0,167,140,27
TWN,CHN,2018.0,205,81,124
FRA,CMR,2007.0,10,14,-4
KOR,CHN,2013.0,162,61,101
CAN,COL,2020.0,17,18,-1
SWE,NOR,1999.0,17,14,3
AUS,ARE,2011.0,9,2,7
LBN,USA,2002.0,21,11,10
BRA,ITA,2021.0,56,21,35
ITA,CAN,2005.0,34,30,4
MYS,GBR,2015.0,61,158,-97
IND,ESP,2012.0,19,10,9
ESP,MEX,2014.0,155,84,71
CHE,ESP,2021.0,61,75,-14
IDN,DEU,2005.0,2,7,-5
USA,ROU,2013.0,12,8,4
ROU,HUN,2021.0,8,8,0
