migrationfrom,migrationto,year,n_migrations,n_migrations_back,netmigrations
USA,DEU,2014.0,1270,1372,-102
USA,SAU,2012.0,131,58,73
USA,CHN,2006.0,859,1109,-250
USA,CAN,2020.0,1851,2045,-194
JPN,USA,2003.0,1634,1356,278
GBR,CHE,2008.0,178,183,-5
USA,JPN,2004.0,1137,1415,-278
FRA,NLD,2012.0,120,127,-7
PRT,GBR,2016.0,131,86,45
ISR,USA,2013.0,410,346,64
GBR,AUS,1999.0,288,275,13
BRA,MEX,2020.0,31,26,5
ITA,CAN,2014.0,72,49,23
CAN,CHN,2011.0,254,236,18
ESP,USA,2012.0,544,447,97
MYS,AUS,2005.0,16,19,-3
DEU,BEL,2006.0,74,47,27
ESP,ARG,2009.0,87,83,4
GBR,CHN,2015.0,452,341,111
USA,JPN,2008.0,1115,1201,-86
AUT,CAN,2010.0,22,17,5
USA,HKG,2013.0,150,146,4
USA,IRL,2009.0,129,137,-8
AUS,CAN,2008.0,119,149,-30
JPN,DEU,2009.0,143,107,36
GBR,AUT,2020.0,128,95,33
TWN,CHN,2006.0,48,62,-14
MYS,SWE,2012.0,4,6,-2
BEL,GBR,2011.0,88,93,-5
NLD,IRL,2017.0,15,17,-2
IND,USA,2000.0,510,277,233
SVK,DEU,2003.0,28,13,15
DEU,GBR,2008.0,708,405,303
FRA,USA,2003.0,861,778,83
DEU,ESP,2011.0,176,161,15
SGP,NZL,2020.0,18,17,1
AUS,HKG,2008.0,22,44,-22
CZE,NLD,2013.0,11,11,0
NLD,CZE,2015.0,13,9,4
BEL,POL,2023.0,8,3,5
SGP,CHN,2014.0,282,209,73
AUS,GBR,2010.0,447,618,-171
GBR,AUS,2020.0,665,583,82
SWE,ESP,2006.0,23,21,2
JPN,AUT,2003.0,18,7,11
GBR,USA,2002.0,1877,1561,316
SGP,USA,2021.0,238,184,54
GBR,ESP,2015.0,299,541,-242
CAN,GBR,2009.0,322,382,-60
GBR,USA,2012.0,1839,1598,241
CAN,USA,2015.0,2039,1612,427
CHN,HKG,2010.0,382,745,-363
HUN,CAN,2011.0,5,9,-4
USA,GRC,2020.0,105,137,-32
FRA,TUR,2008.0,17,9,8
USA,DEU,2001.0,1335,1452,-117
USA,CHN,2010.0,1753,2221,-468
CHN,USA,2016.0,3391,3218,173
USA,POL,2013.0,102,92,10
ESP,VEN,2008.0,24,27,-3
GBR,NZL,2004.0,128,80,48
USA,NLD,2021.0,489,397,92
USA,FRA,2011.0,766,940,-174
USA,KOR,2002.0,568,591,-23
SGP,CHN,2008.0,131,143,-12
USA,FRA,2021.0,669,791,-122
USA,ISR,2013.0,346,410,-64
DEU,JPN,2003.0,99,134,-35
VEN,CAN,2001.0,14,3,11
DEU,CAN,2007.0,216,119,97
CAN,USA,2004.0,1437,1390,47
KEN,USA,2017.0,52,102,-50
KEN,USA,2022.0,43,68,-25
NLD,CHN,2013.0,77,71,6
GBR,CHE,2001.0,138,139,-1
FIN,DEU,2022.0,51,59,-8
CHN,GBR,1998.0,59,67,-8
FRA,CAN,2009.0,298,225,73
GRC,GBR,2009.0,136,152,-16
CHN,SWE,2005.0,40,30,10
FRA,DEU,2010.0,368,322,46
SWE,NOR,2005.0,61,23,38
NOR,SWE,2006.0,31,56,-25
DEU,AUT,2006.0,263,171,92
ISR,NLD,2009.0,16,14,2
FRA,AUS,2018.0,89,84,5
DEU,NLD,2008.0,228,202,26
CHE,NLD,2014.0,63,92,-29
CHE,USA,2007.0,326,386,-60
BGR,RUS,2010.0,3,4,-1
USA,CHE,2007.0,386,326,60
AUT,RUS,2009.0,8,18,-10
FRA,ESP,2013.0,166,275,-109
TUR,CYP,2019.0,119,122,-3
GBR,AUS,2007.0,494,401,93
CHN,USA,2017.0,3596,3484,112
USA,CAN,2007.0,1552,1449,103
NLD,GBR,2008.0,187,153,34
URY,ESP,2012.0,11,13,-2
USA,GBR,2017.0,1879,2069,-190
FRA,ARM,2014.0,3,1,2
USA,PAK,2008.0,45,30,15
BRA,USA,2012.0,387,405,-18
DEU,CHN,2006.0,152,113,39
MEX,PRY,2012.0,2,1,1
USA,ESP,2013.0,432,548,-116
BEL,JPN,2022.0,15,6,9
CAN,JPN,2002.0,109,124,-15
USA,JPN,2015.0,961,983,-22
GBR,USA,2005.0,1528,1371,157
ITA,CUB,2011.0,1,5,-4
IRN,CAN,2011.0,214,60,154
KOR,BGD,2018.0,41,17,24
USA,DEU,2004.0,1125,1229,-104
USA,DEU,2015.0,1246,1341,-95
JPN,DEU,2019.0,135,151,-16
MEX,ESP,2004.0,58,80,-22
MEX,ESP,2008.0,86,96,-10
FRA,TUN,2017.0,153,93,60
FRA,CAN,2021.0,347,315,32
ROU,FRA,2008.0,27,43,-16
FRA,ROU,2010.0,36,34,2
ESP,PRT,2013.0,120,71,49
NLD,USA,2006.0,250,246,4
USA,JPN,2014.0,957,997,-40
FIN,USA,2009.0,72,83,-11
AUS,GBR,2006.0,403,474,-71
BRA,AUS,2001.0,13,14,-1
CMR,FRA,2021.0,15,26,-11
DNK,IRL,2013.0,5,9,-4
CHN,TWN,2018.0,177,339,-162
SWE,USA,2012.0,239,233,6
AUS,CHN,2011.0,133,221,-88
POL,CHN,2015.0,3,6,-3
ESP,HUN,2015.0,6,5,1
GBR,SGP,2010.0,95,47,48
GBR,NZL,2008.0,136,115,21
USA,CHE,2020.0,621,541,80
TUR,ITA,2004.0,1,6,-5
EGY,FRA,2016.0,11,21,-10
DEU,NLD,2014.0,251,362,-111
TWN,USA,2011.0,289,367,-78
CAN,SAU,2016.0,119,69,50
DEU,AUT,2010.0,332,279,53
USA,CHN,2023.0,2356,1692,664
NLD,USA,2010.0,332,359,-27
DEU,SWE,2014.0,157,132,25
ESP,ITA,2013.0,162,183,-21
ISR,GBR,2018.0,69,51,18
IND,KOR,2012.0,189,110,79
AUS,USA,2012.0,611,718,-107
CIV,FRA,1998.0,16,14,2
USA,NLD,2019.0,421,486,-65
POL,FRA,2018.0,53,53,0
DEU,HUN,2003.0,42,59,-17
ITA,USA,2004.0,476,442,34
IND,SGP,2008.0,43,25,18
TWN,SGP,2011.0,17,14,3
USA,ECU,2012.0,22,18,4
POL,GRC,2007.0,5,1,4
GRC,POL,2010.0,4,4,0
GBR,IRL,2005.0,208,169,39
CHL,GBR,2006.0,12,10,2
NZL,CHN,2016.0,26,32,-6
JPN,BGD,2008.0,40,44,-4
JPN,BGD,2014.0,78,54,24
GBR,CYP,2012.0,37,14,23
DEU,JPN,2013.0,135,145,-10
POL,GBR,2010.0,61,53,8
AUS,CAN,2015.0,175,209,-34
USA,FRA,2019.0,750,960,-210
GBR,CAN,2003.0,350,253,97
CHN,FRA,2003.0,53,48,5
GRC,FIN,2013.0,6,2,4
NZL,AUS,2003.0,116,102,14
AUS,NZL,2007.0,89,154,-65
JPN,THA,2009.0,93,33,60
FIN,PRT,2020.0,5,5,0
ITA,BEL,2011.0,87,37,50
DEU,GBR,2004.0,433,385,48
TWN,IND,2011.0,44,51,-7
USA,NZL,2013.0,121,131,-10
AUS,CHL,2019.0,19,29,-10
ESP,CZE,2018.0,33,18,15
TUR,USA,2011.0,226,303,-77
DEU,DNK,2018.0,165,129,36
USA,IND,2005.0,397,676,-279
IND,USA,2010.0,1007,676,331
SWE,FRA,2008.0,52,51,1
DEU,AUS,2011.0,173,150,23
USA,RUS,2008.0,185,207,-22
CIV,FRA,2007.0,19,33,-14
GBR,ROU,1997.0,6,6,0
USA,THA,2011.0,222,110,112
ESP,FRA,2016.0,354,226,128
GBR,ESP,2008.0,230,213,17
CHE,FRA,2003.0,207,286,-79
FRA,DEU,2006.0,268,270,-2
USA,CAN,1998.0,878,1288,-410
DEU,RUS,2003.0,153,239,-86
BEL,USA,2003.0,183,131,52
GBR,IRL,2012.0,203,277,-74
USA,CHN,2000.0,372,680,-308
USA,JPN,2001.0,1219,1594,-375
USA,BRA,2021.0,440,755,-315
BRA,CAN,2009.0,64,48,16
IRL,FRA,2006.0,19,32,-13
CAN,OMN,2003.0,4,2,2
ZAF,FRA,2005.0,11,13,-2
NAM,ZWE,2015.0,1,2,-1
USA,GBR,2022.0,1384,1658,-274
CAN,PRT,2009.0,6,5,1
ISR,USA,2003.0,435,283,152
ITA,USA,2015.0,622,408,214
BRA,ITA,2023.0,49,24,25
CAN,NLD,2010.0,69,63,6
RUS,UKR,2011.0,51,38,13
USA,NLD,2009.0,306,299,7
JPN,VNM,2011.0,47,9,38
AUT,FRA,2003.0,23,27,-4
FRA,USA,2013.0,942,802,140
TUR,ITA,2008.0,8,2,6
